setBits:1c  tagBits:53c L 14f398,4 hit 
setBits:1c  tagBits:53c L 14f39c,4 hit 
setBits:1c  tagBits:53c S 14f390,4 hit 
setBits:1c  tagBits:53c S 14f394,4 hit 
setBits:1c  tagBits:53c S 14f398,4 hit 
setBits:1c  tagBits:53c S 14f39c,4 hit 
setBits:1c  tagBits:53d S 14f780,4 miss  eviction 
setBits:1c  tagBits:53d S 14f784,4 hit 
setBits:1c  tagBits:53d S 14f788,4 hit 
setBits:1c  tagBits:53d S 14f78c,4 hit 
setBits:4  tagBits:43d L 10f490,4 hit 
setBits:4  tagBits:43d L 10f494,4 hit 
setBits:4  tagBits:43d L 10f498,4 hit 
setBits:4  tagBits:43d L 10f49c,4 hit 
setBits:4  tagBits:53d S 14f490,4 miss  eviction 
setBits:c  tagBits:53d S 14f590,4 miss  eviction 
setBits:14  tagBits:53d S 14f690,4 miss  eviction 
setBits:1c  tagBits:53d S 14f790,4 hit 
setBits:c  tagBits:43d L 10f590,4 miss  eviction 
setBits:c  tagBits:43d L 10f594,4 hit 
setBits:c  tagBits:43d L 10f598,4 hit 
setBits:c  tagBits:43d L 10f59c,4 hit 
setBits:4  tagBits:53d S 14f494,4 hit 
setBits:c  tagBits:53d S 14f594,4 miss  eviction 
setBits:14  tagBits:53d S 14f694,4 hit 
setBits:1c  tagBits:53d S 14f794,4 hit 
setBits:14  tagBits:43d L 10f690,4 miss  eviction 
setBits:14  tagBits:43d L 10f694,4 hit 
setBits:14  tagBits:43d L 10f698,4 hit 
setBits:14  tagBits:43d L 10f69c,4 hit 
setBits:4  tagBits:53d S 14f498,4 hit 
setBits:c  tagBits:53d S 14f598,4 hit 
setBits:14  tagBits:53d S 14f698,4 miss  eviction 
setBits:1c  tagBits:53d S 14f798,4 hit 
setBits:1c  tagBits:43d L 10f790,4 miss  eviction 
setBits:1c  tagBits:43d L 10f794,4 hit 
setBits:1c  tagBits:43d L 10f798,4 hit 
setBits:1c  tagBits:43d L 10f79c,4 hit 
setBits:4  tagBits:53d S 14f49c,4 hit 
setBits:c  tagBits:53d S 14f59c,4 hit 
setBits:14  tagBits:53d S 14f69c,4 hit 
setBits:1c  tagBits:53d S 14f79c,4 miss  eviction 
setBits:5  tagBits:43c L 10f0a0,4 miss  eviction 
setBits:5  tagBits:43c L 10f0a4,4 hit 
setBits:5  tagBits:43c L 10f0a8,4 hit 
setBits:5  tagBits:43c L 10f0ac,4 hit 
setBits:5  tagBits:43c L 10f0b0,4 hit 
setBits:5  tagBits:43c L 10f0b4,4 hit 
setBits:5  tagBits:43c L 10f0b8,4 hit 
setBits:5  tagBits:43c L 10f0bc,4 hit 
setBits:4  tagBits:53e S 14f880,4 miss  eviction 
setBits:c  tagBits:53e S 14f980,4 miss  eviction 
setBits:14  tagBits:53e S 14fa80,4 miss  eviction 
setBits:1c  tagBits:53e S 14fb80,4 miss  eviction 
setBits:4  tagBits:53e S 14f890,4 hit 
setBits:c  tagBits:53e S 14f990,4 hit 
setBits:14  tagBits:53e S 14fa90,4 hit 
setBits:1c  tagBits:53e S 14fb90,4 hit 
setBits:d  tagBits:43c L 10f1a0,4 miss 
setBits:d  tagBits:43c L 10f1a4,4 hit 
setBits:d  tagBits:43c L 10f1a8,4 hit 
setBits:d  tagBits:43c L 10f1ac,4 hit 
setBits:d  tagBits:43c L 10f1b0,4 hit 
setBits:d  tagBits:43c L 10f1b4,4 hit 
setBits:d  tagBits:43c L 10f1b8,4 hit 
setBits:d  tagBits:43c L 10f1bc,4 hit 
setBits:4  tagBits:53e S 14f884,4 hit 
setBits:c  tagBits:53e S 14f984,4 hit 
setBits:14  tagBits:53e S 14fa84,4 hit 
setBits:1c  tagBits:53e S 14fb84,4 hit 
setBits:4  tagBits:53e S 14f894,4 hit 
setBits:c  tagBits:53e S 14f994,4 hit 
setBits:14  tagBits:53e S 14fa94,4 hit 
setBits:1c  tagBits:53e S 14fb94,4 hit 
setBits:15  tagBits:43c L 10f2a0,4 miss 
setBits:15  tagBits:43c L 10f2a4,4 hit 
setBits:15  tagBits:43c L 10f2a8,4 hit 
setBits:15  tagBits:43c L 10f2ac,4 hit 
setBits:15  tagBits:43c L 10f2b0,4 hit 
setBits:15  tagBits:43c L 10f2b4,4 hit 
setBits:15  tagBits:43c L 10f2b8,4 hit 
setBits:15  tagBits:43c L 10f2bc,4 hit 
setBits:4  tagBits:53e S 14f888,4 hit 
setBits:c  tagBits:53e S 14f988,4 hit 
setBits:14  tagBits:53e S 14fa88,4 hit 
setBits:1c  tagBits:53e S 14fb88,4 hit 
setBits:4  tagBits:53e S 14f898,4 hit 
setBits:c  tagBits:53e S 14f998,4 hit 
setBits:14  tagBits:53e S 14fa98,4 hit 
setBits:1c  tagBits:53e S 14fb98,4 hit 
setBits:1d  tagBits:43c L 10f3a0,4 miss 
setBits:1d  tagBits:43c L 10f3a4,4 hit 
setBits:1d  tagBits:43c L 10f3a8,4 hit 
setBits:1d  tagBits:43c L 10f3ac,4 hit 
setBits:1d  tagBits:43c L 10f3b0,4 hit 
setBits:1d  tagBits:43c L 10f3b4,4 hit 
setBits:1d  tagBits:43c L 10f3b8,4 hit 
setBits:1d  tagBits:43c L 10f3bc,4 hit 
setBits:4  tagBits:53e S 14f88c,4 hit 
setBits:c  tagBits:53e S 14f98c,4 hit 
setBits:14  tagBits:53e S 14fa8c,4 hit 
setBits:1c  tagBits:53e S 14fb8c,4 hit 
setBits:4  tagBits:53e S 14f89c,4 hit 
setBits:c  tagBits:53e S 14f99c,4 hit 
setBits:14  tagBits:53e S 14fa9c,4 hit 
setBits:1c  tagBits:53e S 14fb9c,4 hit 
setBits:5  tagBits:43d L 10f4a0,4 miss  eviction 
setBits:d  tagBits:43d L 10f5a0,4 miss  eviction 
setBits:15  tagBits:43d L 10f6a0,4 miss  eviction 
setBits:1d  tagBits:43d L 10f7a0,4 miss  eviction 
setBits:4  tagBits:53e L 14f890,4 hit 
setBits:4  tagBits:53e L 14f894,4 hit 
setBits:4  tagBits:53e L 14f898,4 hit 
setBits:4  tagBits:53e L 14f89c,4 hit 
setBits:4  tagBits:53e S 14f890,4 hit 
setBits:4  tagBits:53e S 14f894,4 hit 
setBits:4  tagBits:53e S 14f898,4 hit 
setBits:4  tagBits:53e S 14f89c,4 hit 
setBits:4  tagBits:53f S 14fc80,4 miss  eviction 
setBits:4  tagBits:53f S 14fc84,4 hit 
setBits:4  tagBits:53f S 14fc88,4 hit 
setBits:4  tagBits:53f S 14fc8c,4 hit 
setBits:5  tagBits:43d L 10f4a4,4 hit 
setBits:d  tagBits:43d L 10f5a4,4 hit 
setBits:15  tagBits:43d L 10f6a4,4 hit 
setBits:1d  tagBits:43d L 10f7a4,4 hit 
setBits:c  tagBits:53e L 14f990,4 hit 
setBits:c  tagBits:53e L 14f994,4 hit 
setBits:c  tagBits:53e L 14f998,4 hit 
setBits:c  tagBits:53e L 14f99c,4 hit 
setBits:c  tagBits:53e S 14f990,4 hit 
setBits:c  tagBits:53e S 14f994,4 hit 
setBits:c  tagBits:53e S 14f998,4 hit 
setBits:c  tagBits:53e S 14f99c,4 hit 
setBits:c  tagBits:53f S 14fd80,4 miss  eviction 
setBits:c  tagBits:53f S 14fd84,4 hit 
setBits:c  tagBits:53f S 14fd88,4 hit 
setBits:c  tagBits:53f S 14fd8c,4 hit 
setBits:5  tagBits:43d L 10f4a8,4 hit 
setBits:d  tagBits:43d L 10f5a8,4 hit 
setBits:15  tagBits:43d L 10f6a8,4 hit 
setBits:1d  tagBits:43d L 10f7a8,4 hit 
setBits:14  tagBits:53e L 14fa90,4 hit 
setBits:14  tagBits:53e L 14fa94,4 hit 
setBits:14  tagBits:53e L 14fa98,4 hit 
setBits:14  tagBits:53e L 14fa9c,4 hit 
